"date","value"
2006-09-16 16:30:00,18.08
2006-09-23 16:30:00,10.62
2006-09-30 16:30:00,12.27
2006-10-07 16:30:00,42.56
2006-10-21 16:30:00,7.1
2006-10-28 16:30:00,5.7
2006-11-04 14:30:00,5.39
2006-11-11 14:30:00,5.75
2006-11-18 14:30:00,13.06
2006-11-25 14:30:00,6.86
2006-12-02 14:30:00,4.81
2006-12-09 14:30:00,3.6
2006-12-16 14:30:00,5.94
2006-12-23 14:30:00,3.77
2006-12-30 14:30:00,18.41
2007-01-06 14:30:00,17.4
2007-01-13 14:30:00,19.98
2007-01-20 14:30:00,14.15
2007-01-27 14:30:00,14.13
2007-02-03 14:30:00,11.19
2007-02-10 14:30:00,9.15
2007-02-17 14:30:00,11.98
2007-02-24 14:30:00,14.18
2007-03-03 14:30:00,8.34
2007-03-10 14:30:00,14.3
2007-03-17 14:30:00,10.91
2007-03-24 14:30:00,13.01
2007-03-31 16:30:00,11.97
2007-04-07 16:30:00,15.72
2007-04-14 16:30:00,19.28
2007-04-21 16:30:00,12.83
2007-04-28 16:30:00,15.12
2007-05-05 16:30:00,8.21
2007-05-12 16:30:00,9.68
2007-05-19 16:30:00,9.99
2007-05-26 16:30:00,12.93
2007-06-02 16:30:00,14.42
2007-06-09 16:30:00,15.94
2007-06-16 16:30:00,22
2007-06-23 16:30:00,23.47
2007-06-30 16:30:00,23.82
2007-07-07 16:30:00,31.36
2007-07-14 16:30:00,43.29
2007-07-21 16:30:00,32.53
2007-07-28 16:30:00,44.96
2007-08-04 16:30:00,38.17
2007-08-11 16:30:00,43.93
2007-08-18 16:30:00,41.89
2007-08-25 16:30:00,29.11
2007-09-01 16:30:00,22.8
2007-09-08 16:30:00,23.31
2007-09-15 16:30:00,18.15
2007-09-22 16:30:00,15.81
2007-09-29 16:30:00,13.57
2007-10-06 16:30:00,11.59
2007-10-13 16:30:00,13.43
2007-10-20 16:30:00,9
2007-10-27 16:30:00,7.52
2007-11-03 14:30:00,4.04
2007-11-10 14:30:00,8.29
2007-11-17 14:30:00,6.05
2007-11-24 14:30:00,4.91
2007-12-01 14:30:00,5.05
2007-12-08 14:30:00,4.61
2007-12-15 14:30:00,6.15
2007-12-22 14:30:00,5.7
2007-12-29 14:30:00,5.8
2008-01-05 14:30:00,7.72
2008-01-12 14:30:00,5.6
2008-01-19 14:30:00,4.79
2008-01-26 14:30:00,4.34
2008-02-02 14:30:00,2.2
2008-02-09 14:30:00,5.47
2008-02-16 14:30:00,6.57
2008-02-23 14:30:00,5.03
2008-03-01 14:30:00,7.76
2008-03-08 14:30:00,6.19
2008-03-15 14:30:00,8.01
2008-03-22 14:30:00,5.03
2008-03-29 14:30:00,5.69
2008-04-05 15:30:00,8.79
2008-04-12 16:30:00,5.95
2008-04-19 16:30:00,8.17
2008-04-26 16:30:00,5.92
2008-05-03 16:30:00,9.08
2008-05-10 16:30:00,10.86
2008-05-17 16:30:00,10.8
2008-05-24 16:30:00,11.28
2008-05-31 16:30:00,10.61
2008-06-07 16:30:00,10.78
2008-06-14 16:30:00,12.18
2008-06-21 16:30:00,14.76
2008-06-28 16:30:00,8.99
2008-07-05 16:30:00,8.66
2008-07-12 16:30:00,8.94
2008-07-19 16:30:00,10.65
2008-07-26 16:30:00,9.88
2008-08-02 16:30:00,12.09
2008-08-09 16:30:00,10.13
2008-08-16 16:30:00,22.03
2008-08-23 16:30:00,24.07
2008-08-30 16:30:00,27.53
2008-09-06 16:30:00,33.68
2008-09-13 16:30:00,26.18
2008-09-20 16:30:00,22.81
2008-09-27 16:30:00,21.96
2008-10-04 16:30:00,14.05
2008-10-11 15:30:00,10.9
2008-10-18 15:30:00,10.81
2008-10-25 15:30:00,5.77
2008-11-01 14:30:00,6.89
2008-11-08 14:30:00,6.92
2008-11-15 14:30:00,6.09
2008-11-22 14:30:00,4.35
2008-11-29 14:30:00,6.92
2008-12-06 14:30:00,5.65
2008-12-13 14:30:00,4.39
2008-12-20 14:30:00,4.87
2008-12-27 14:30:00,7.97
2009-01-03 14:30:00,7.99
2009-01-10 14:30:00,3.17
2009-01-17 14:30:00,2.12
2009-01-24 14:30:00,2.71
2009-01-31 14:30:00,2.8
2009-02-07 14:30:00,2.83
2009-02-14 14:30:00,3.76
2009-02-21 14:30:00,4.17
2009-02-28 14:30:00,4.56
2009-03-07 14:30:00,5.55
2009-03-14 14:30:00,4.95
2009-03-21 14:30:00,6.38
2009-03-28 14:30:00,5.06
2009-04-04 15:30:00,6.48
2009-04-11 16:30:00,8.02
2009-04-18 16:30:00,5.59
2009-04-25 16:30:00,4.17
2009-05-02 16:30:00,9.39
2009-05-09 16:30:00,10.23
2009-05-16 16:30:00,8.36
2009-05-23 16:30:00,9.87
2009-05-30 16:30:00,15.29
2009-06-06 16:30:00,14.54
2009-06-13 16:30:00,16.42
2009-06-20 16:30:00,17.87
2009-06-27 16:30:00,21.98
2009-07-04 16:30:00,25.68
2009-07-11 16:30:00,38.94
2009-07-18 16:30:00,43.86
2009-07-25 16:30:00,36.13
2009-08-01 16:30:00,44.57
2009-08-08 16:30:00,45.65
2009-08-15 16:30:00,43.33
2009-08-22 16:30:00,23.29
2009-08-29 16:30:00,19.36
2009-09-05 16:30:00,17.15
2009-09-12 16:30:00,14.68
2009-09-19 16:30:00,11.34
2009-09-26 16:30:00,9.46
2009-10-03 16:30:00,9.86
2009-10-10 15:30:00,7.52
2009-10-17 15:30:00,7.99
2009-10-24 15:30:00,5.86
2009-10-31 14:30:00,7.28
2009-11-07 14:30:00,6.33
2009-11-14 14:30:00,5.64
2009-11-21 14:30:00,5.29
2009-11-28 14:30:00,4.35
2009-12-05 14:30:00,5.1
2009-12-12 14:30:00,4.18
2009-12-19 14:30:00,3.8
2009-12-26 14:30:00,1.92
2010-01-02 14:30:00,2.91
2010-01-09 14:30:00,2.03
2010-01-16 14:30:00,1.24
2010-01-23 14:30:00,3.92
2010-01-30 14:30:00,3.19
2010-02-06 14:30:00,3.76
2010-02-13 14:30:00,3.75
2010-02-20 14:30:00,4.52
2010-02-27 14:30:00,5.07
2010-03-06 14:30:00,5.72
2010-03-13 14:30:00,6.37
2010-03-20 14:30:00,5.55
2010-03-27 14:30:00,5
2010-04-03 15:30:00,5.02
2010-04-10 16:30:00,2.33
2010-04-17 16:30:00,4.33
2010-04-24 16:30:00,4.88
2010-05-01 16:30:00,5.73
2010-05-08 16:30:00,5.77
2010-05-15 16:30:00,6.69
2010-05-22 16:30:00,7.63
2010-05-29 16:30:00,6.6
2010-06-05 16:30:00,8.47
2010-06-12 16:30:00,9.58
2010-06-19 16:30:00,7.13
2010-06-26 16:30:00,8.36
2010-07-03 16:30:00,10.39
2010-07-10 16:30:00,9.58
2010-07-17 16:30:00,10.56
2010-07-24 16:30:00,11.07
2010-07-31 16:30:00,9.97
2010-08-07 16:30:00,10.81
2010-08-14 16:30:00,9.8
2010-08-21 16:30:00,13.7
2010-08-28 16:30:00,16.81
2010-09-04 16:30:00,15.29
2010-09-11 16:30:00,17.57
2010-09-18 16:30:00,13.93
2010-09-25 16:30:00,16.98
2010-10-02 16:30:00,13.67
2010-10-09 15:30:00,11.25
2010-10-16 15:30:00,9.83
2010-10-23 15:30:00,9.1
2010-10-30 15:30:00,7.28
2010-11-06 14:30:00,9.64
2010-11-13 14:30:00,8.34
2010-11-20 14:30:00,7.09
2010-11-27 14:30:00,6.18
2010-12-04 14:30:00,5.78
2010-12-11 14:30:00,4.52
2010-12-18 14:30:00,6.03
2010-12-25 14:30:00,5.95
2011-01-01 14:30:00,4.88
2011-01-08 14:30:00,2.25
2011-01-15 14:30:00,3.83
2011-01-22 14:30:00,4.37
2011-01-29 14:30:00,3.48
2011-02-05 14:30:00,4.21
2011-02-12 14:30:00,3.82
2011-02-19 14:30:00,4.44
2011-02-26 14:30:00,4.65
2011-03-05 14:30:00,4.91
2011-03-12 14:30:00,4.23
2011-03-19 14:30:00,4.1
2011-03-26 14:30:00,5.02
2011-04-02 15:30:00,3.73
2011-04-09 16:30:00,6.18
2011-04-16 16:30:00,5.03
2011-04-23 16:30:00,5.67
2011-04-30 16:30:00,4.51
2011-05-07 16:30:00,3.22
2011-05-14 16:30:00,4.17
2011-05-21 16:30:00,4.69
2011-05-28 16:30:00,5.51
2011-06-04 16:30:00,7.12
2011-06-11 16:30:00,8.84
2011-06-18 16:30:00,12.02
2011-06-25 16:30:00,8.91
2011-07-02 16:30:00,13.99
2011-07-09 16:30:00,9.15
2011-07-16 16:30:00,16.49
2011-07-23 16:30:00,17.45
2011-07-30 16:30:00,15.65
2011-08-06 16:30:00,18.46
2011-08-13 16:30:00,18.92
2011-08-20 16:30:00,16.29
2011-08-27 16:30:00,15.17
2011-09-03 16:30:00,15.83
2011-09-10 16:30:00,12.75
2011-09-17 16:30:00,14.68
2011-09-24 16:30:00,15.69
2011-10-01 16:30:00,11.22
2011-10-08 15:30:00,8.92
2011-10-15 15:30:00,7.77
2011-10-22 15:30:00,6.54
2011-10-29 15:30:00,4.98
2011-11-05 14:30:00,6.39
2011-11-12 14:30:00,6.22
2011-11-19 14:30:00,5.46
2011-11-26 14:30:00,6.01
2011-12-03 14:30:00,5.45
2011-12-10 14:30:00,5.99
2011-12-17 14:30:00,3.64
2011-12-24 14:30:00,4.22
2011-12-31 14:30:00,5.14
2012-01-07 14:30:00,4.24
2012-01-14 14:30:00,3.58
2012-01-21 14:30:00,4.72
2012-01-28 14:30:00,4.3
2012-02-04 14:30:00,4.5
2012-02-11 14:30:00,2.42
2012-02-18 14:30:00,4.21
2012-02-25 14:30:00,2.35
2012-03-03 14:30:00,1.81
2012-03-10 14:30:00,5.8
2012-03-17 14:30:00,4.64
2012-03-24 14:30:00,5.41
2012-03-31 15:30:00,6.29
2012-04-07 16:30:00,5.22
2012-04-14 16:30:00,6.05
2012-04-21 16:30:00,4.11
2012-04-28 16:30:00,2.62
2012-05-05 16:30:00,3.37
2012-05-12 16:30:00,4.84
2012-05-19 16:30:00,6.9
2012-05-26 16:30:00,7.54
2012-06-02 16:30:00,10.18
2012-06-09 16:30:00,11.41
2012-06-16 16:30:00,7.94
2012-06-23 16:30:00,10.8
2012-06-30 16:30:00,14.98
2012-07-07 16:30:00,16
2012-07-14 16:30:00,18.25
2012-07-21 16:30:00,17.42
2012-07-28 16:30:00,19.05
2012-08-04 16:30:00,17.61
2012-08-11 16:30:00,15.96
2012-08-18 16:30:00,14.75
2012-08-25 16:30:00,13.24
2012-09-01 16:30:00,9.14
2012-09-08 16:30:00,7.33
2012-09-15 16:30:00,7.53
2012-09-22 16:30:00,5.87
2012-09-29 16:30:00,3.93
2012-10-06 16:30:00,3.61
2012-10-13 15:30:00,1.94
2012-10-20 15:30:00,1.82
2012-10-27 15:30:00,2.96
2012-11-03 14:30:00,2.64
2012-11-10 14:30:00,2.24
2012-11-17 14:30:00,2.45
2012-11-24 14:30:00,3.06
2012-12-01 14:30:00,2.68
2012-12-08 14:30:00,2.32
2012-12-15 14:30:00,2.05
2012-12-22 14:30:00,2.57
2012-12-29 14:30:00,2.56
2013-01-05 14:30:00,2.48
2013-01-12 14:30:00,2.31
2013-01-19 14:30:00,2.74
2013-01-26 14:30:00,2.42
2013-02-02 14:30:00,3.04
2013-02-09 14:30:00,2.57
2013-02-16 14:30:00,2.5
2013-02-23 14:30:00,2.88
2013-03-02 14:30:00,3.24
2013-03-09 14:30:00,3.06
2013-03-16 14:30:00,3.12
2013-03-23 14:30:00,3.48
2013-03-30 14:30:00,3.49
2013-04-06 15:30:00,4.24
2013-04-13 16:30:00,3.17
2013-04-20 16:30:00,3.45
2013-04-27 16:30:00,1.65
2013-05-04 16:30:00,2
2013-05-11 16:30:00,2.45
2013-05-18 16:30:00,2.68
2013-05-25 16:30:00,3.24
2013-06-01 16:30:00,3.11
2013-06-08 16:30:00,5.88
2013-06-15 16:30:00,5.14
2013-06-22 16:30:00,5.67
2013-06-29 16:30:00,6.54
2013-07-06 16:30:00,5.68
2013-07-13 16:30:00,7.8
2013-07-20 16:30:00,7.91
2013-07-27 16:30:00,7.49
2013-08-03 16:30:00,9.5
2013-08-10 16:30:00,7.58
2013-08-17 16:30:00,10.91
2013-08-24 16:30:00,9.84
2013-08-31 16:30:00,9.18
2013-09-07 16:30:00,11.02
2013-09-14 16:30:00,11.1
2013-09-21 16:30:00,11.95
2013-09-28 16:30:00,10.74
2013-10-05 16:30:00,9.14
2013-10-12 15:30:00,5.65
2013-10-19 15:30:00,2.03
2013-10-26 15:30:00,3.46
2013-11-02 14:30:00,7.02
2013-11-09 14:30:00,4.58
2013-11-16 14:30:00,5.67
2013-11-23 14:30:00,3.65
2013-11-30 14:30:00,5.56
2013-12-07 14:30:00,5.93
2013-12-14 14:30:00,1.71
2013-12-21 14:30:00,1.32
2013-12-28 14:30:00,4.53
2014-01-04 14:30:00,4.75
2014-01-11 14:30:00,4.54
2014-01-18 14:30:00,3.55
2014-01-25 14:30:00,4.58
2014-02-01 14:30:00,3.23
2014-02-08 14:30:00,2.91
2014-02-15 14:30:00,4.86
2014-02-22 14:30:00,4.39
2014-03-01 14:30:00,4.71
2014-03-08 14:30:00,6.56
2014-03-15 14:30:00,6.37
2014-03-22 14:30:00,5.27
2014-03-29 14:30:00,6.38
2014-04-05 15:30:00,7.06
2014-04-12 16:30:00,4.77
2014-04-19 16:30:00,6.36
2014-04-26 16:30:00,6.24
2014-05-03 16:30:00,6.62
2014-05-10 16:30:00,6.55
2014-05-17 16:30:00,4.5
2014-05-24 16:30:00,3.92
2014-05-31 16:30:00,4.97
2014-06-07 16:30:00,5.04
2014-06-14 16:30:00,8.05
2014-06-21 16:30:00,8.3
2014-06-28 16:30:00,8.26
2014-07-05 16:30:00,8.98
2014-07-12 16:30:00,9.52
2014-07-19 16:30:00,8.78
2014-07-26 16:30:00,10.66
2014-08-02 16:30:00,13.98
2014-08-09 16:30:00,15.59
2014-08-16 16:30:00,17.49
2014-08-23 16:30:00,19.17
2014-08-30 16:30:00,19.07
2014-09-06 16:30:00,16.07
2014-09-13 16:30:00,16.02
